[['2, k, 0', [-0.1771124, 0.07736035, 1.0]], ['2, k, 1', [-0.1671286, 0.3995754, 1.0]], ['2, k, 2', [-0.1554371, 0.7077508, 1.0]], ['2, k, 3', [-0.1629854, 0.8479918, 1.0]], ['2, k, 4', [-0.3342767, 0.5859808, 1.0]], ['2, k, 5', [-0.3992905, 0.3337906, 1.0]], ['2, k, 6', [-0.3794124, 0.09901603, 1.0]], ['2, k, 7', [-0.3615683, 0.03092598, 1.0]], ['2, k, 8', [0.02144319, 0.6177605, 1.0]], ['2, k, 9', [0.08456162, 0.3426634, 1.0]], ['2, k, 10', [0.1159117, 0.1137812, 1.0]], ['2, k, 11', [0.1369458, 0.07127684, 1.0]], ['2, k, 12', [-0.2533886, 0.07697546, 1.0]], ['2, k, 13', [-0.311402, -0.3792857, 1.0]], ['2, k, 14', [-0.3624165, -0.7126673, 1.0]], ['2, k, 15', [-0.3926987, -0.7556632, 1.0]], ['2, k, 16', [-0.09435885, 0.0748427, 1.0]], ['2, k, 17', [-0.09252954, -0.3537278, 1.0]], ['2, k, 18', [-0.1337031, -0.6984282, 1.0]], ['2, k, 19', [-0.02762423, -0.747693, 1.0]], ['2, k, 20', [-0.15859, 0.6327223, 1.0]], ['2, k, 21', [-0.3701833, -0.03992803, 1.0]], ['2, k, 22', [-0.3306806, 0.007972344, 1.0]], ['2, k, 23', [0.1512323, -0.005729869, 1.0]], ['2, k, 24', [0.150348, 0.08719586, 1.0]]]
[['2, k, 0', [-0.1610008, 0.07518912, 1.0]], ['2, k, 1', [-0.1605066, 0.4024958, 1.0]], ['2, k, 2', [-0.1584615, 0.7174981, 1.0]], ['2, k, 3', [-0.1378098, 0.8823723, 1.0]], ['2, k, 4', [-0.2925028, 0.5482199, 1.0]], ['2, k, 5', [-0.4202372, 0.4476982, 1.0]], ['2, k, 6', [-0.2510049, 0.6184427, 1.0]], ['2, k, 7', [-0.2221399, 0.6631098, 1.0]], ['2, k, 8', [0.009777708, 0.6201866, 1.0]], ['2, k, 9', [0.08065792, 0.3442914, 1.0]], ['2, k, 10', [0.1110066, 0.1152301, 1.0]], ['2, k, 11', [0.1354665, 0.06820736, 1.0]], ['2, k, 12', [-0.2350016, 0.0721576, 1.0]], ['2, k, 13', [-0.3061447, -0.37432, 1.0]], ['2, k, 14', [-0.3616965, -0.7135934, 1.0]], ['2, k, 15', [-0.3927754, -0.7552783, 1.0]], ['2, k, 16', [-0.08129966, 0.07522395, 1.0]], ['2, k, 17', [-0.08550192, -0.3565479, 1.0]], ['2, k, 18', [-0.1414587, -0.7113073, 1.0]], ['2, k, 19', [-0.02962843, -0.7462608, 1.0]], ['2, k, 20', [-0.1592017, 0.6407201, 1.0]], ['2, k, 21', [-0.1499682, 0.7235432, 1.0]], ['2, k, 22', [-0.2590152, 0.7066677, 1.0]], ['2, k, 23', [0.1494115, -0.007382176, 1.0]], ['2, k, 24', [0.168988, 0.06027418, 1.0]]]
[['2, k, 0', [-0.1611467, 0.07519, 1.0]], ['2, k, 1', [-0.160526, 0.4026919, 1.0]], ['2, k, 2', [-0.1583049, 0.7179171, 1.0]], ['2, k, 3', [-0.13756, 0.8826599, 1.0]], ['2, k, 4', [-0.2920938, 0.5484517, 1.0]], ['2, k, 5', [-0.4199712, 0.4580165, 1.0]], ['2, k, 6', [-0.2561566, 0.6103809, 1.0]], ['2, k, 7', [-0.2211726, 0.6624282, 1.0]], ['2, k, 8', [0.009962667, 0.620235, 1.0]], ['2, k, 9', [0.08069292, 0.3444925, 1.0]], ['2, k, 10', [0.1111546, 0.1154481, 1.0]], ['2, k, 11', [0.1358313, 0.06932169, 1.0]], ['2, k, 12', [-0.2351771, 0.07218468, 1.0]], ['2, k, 13', [-0.3067327, -0.3735705, 1.0]], ['2, k, 14', [-0.3624825, -0.7143646, 1.0]], ['2, k, 15', [-0.3931123, -0.7560496, 1.0]], ['2, k, 16', [-0.08142325, 0.07521336, 1.0]], ['2, k, 17', [-0.08554405, -0.3566998, 1.0]], ['2, k, 18', [-0.1393702, -0.7125714, 1.0]], ['2, k, 19', [-0.02788993, -0.7467397, 1.0]], ['2, k, 20', [-0.1590975, 0.6410747, 1.0]], ['2, k, 21', [-0.1487476, 0.719184, 1.0]], ['2, k, 22', [-0.2601837, 0.7072629, 1.0]], ['2, k, 23', [0.1480743, -0.005877976, 1.0]], ['2, k, 24', [0.1670683, 0.06708135, 1.0]]]
[['2, k, 0', [-0.1614039, 0.07505545, 1.0]], ['2, k, 1', [-0.1605451, 0.4027374, 1.0]], ['2, k, 2', [-0.1581938, 0.7181138, 1.0]], ['2, k, 3', [-0.1373271, 0.8829775, 1.0]], ['2, k, 4', [-0.2917854, 0.5483651, 1.0]], ['2, k, 5', [-0.4214142, 0.4545417, 1.0]], ['2, k, 6', [-0.2395169, 0.6304677, 1.0]], ['2, k, 7', [-0.2207662, 0.6632015, 1.0]], ['2, k, 8', [0.01009884, 0.6202735, 1.0]], ['2, k, 9', [0.08073025, 0.3444634, 1.0]], ['2, k, 10', [0.1114027, 0.1154485, 1.0]], ['2, k, 11', [0.1356134, 0.06967273, 1.0]], ['2, k, 12', [-0.23544, 0.07213207, 1.0]], ['2, k, 13', [-0.3068702, -0.374009, 1.0]], ['2, k, 14', [-0.3626216, -0.7144017, 1.0]], ['2, k, 15', [-0.3932413, -0.7561285, 1.0]], ['2, k, 16', [-0.08167741, 0.0749981, 1.0]], ['2, k, 17', [-0.08583248, -0.3550908, 1.0]], ['2, k, 18', [-0.1396601, -0.7030009, 1.0]], ['2, k, 19', [-0.02983467, -0.7454017, 1.0]], ['2, k, 20', [-0.1590326, 0.6412215, 1.0]], ['2, k, 21', [-0.1492309, 0.7210087, 1.0]], ['2, k, 22', [-0.2579225, 0.7062297, 1.0]], ['2, k, 23', [0.1492916, -0.002991566, 1.0]], ['2, k, 24', [0.1075103, 0.07211739, 1.0]]]
[['2, k, 0', [-0.1614432, 0.07494833, 1.0]], ['2, k, 1', [-0.1605745, 0.4033117, 1.0]], ['2, k, 2', [-0.158224, 0.7205969, 1.0]], ['2, k, 3', [-0.1371352, 0.8833359, 1.0]], ['2, k, 4', [-0.2916356, 0.5482699, 1.0]], ['2, k, 5', [-0.4222302, 0.4535203, 1.0]], ['2, k, 6', [-0.2395382, 0.6307292, 1.0]], ['2, k, 7', [-0.220945, 0.6642585, 1.0]], ['2, k, 8', [0.01103042, 0.6207141, 1.0]], ['2, k, 9', [0.08076613, 0.3451475, 1.0]], ['2, k, 10', [0.1110922, 0.1160819, 1.0]], ['2, k, 11', [0.1377096, 0.06905449, 1.0]], ['2, k, 12', [-0.2354529, 0.07199699, 1.0]], ['2, k, 13', [-0.3070636, -0.3735394, 1.0]], ['2, k, 14', [-0.3629066, -0.7148136, 1.0]], ['2, k, 15', [-0.3934369, -0.7563372, 1.0]], ['2, k, 16', [-0.08173902, 0.07489153, 1.0]], ['2, k, 17', [-0.08587766, -0.3551596, 1.0]], ['2, k, 18', [-0.1401941, -0.703477, 1.0]], ['2, k, 19', [-0.0300523, -0.7451228, 1.0]], ['2, k, 20', [-0.1590528, 0.643123, 1.0]], ['2, k, 21', [-0.145772, 0.7197147, 1.0]], ['2, k, 22', [-0.254719, 0.7147753, 1.0]], ['2, k, 23', [0.1466899, -0.01154258, 1.0]], ['2, k, 24', [0.164318, 0.05161346, 1.0]]]
[['2, k, 0', [-0.1614772, 0.07481467, 1.0]], ['2, k, 1', [-0.160286, 0.4024632, 1.0]], ['2, k, 2', [-0.1570296, 0.7170567, 1.0]], ['2, k, 3', [-0.1367861, 0.8834689, 1.0]], ['2, k, 4', [-0.292858, 0.547331, 1.0]], ['2, k, 5', [-0.4231094, 0.4520277, 1.0]], ['2, k, 6', [-0.2368712, 0.6353438, 1.0]], ['2, k, 7', [-0.2217026, 0.6670673, 1.0]], ['2, k, 8', [0.01112528, 0.6207277, 1.0]], ['2, k, 9', [0.08020625, 0.3431699, 1.0]], ['2, k, 10', [0.111458, 0.11429, 1.0]], ['2, k, 11', [0.1368474, 0.06920349, 1.0]], ['2, k, 12', [-0.2355035, 0.07177816, 1.0]], ['2, k, 13', [-0.3073861, -0.3743777, 1.0]], ['2, k, 14', [-0.3629825, -0.7148429, 1.0]], ['2, k, 15', [-0.3935113, -0.7562422, 1.0]], ['2, k, 16', [-0.0817517, 0.07483652, 1.0]], ['2, k, 17', [-0.08608254, -0.355422, 1.0]], ['2, k, 18', [-0.1394655, -0.7007626, 1.0]], ['2, k, 19', [-0.031967, -0.7466618, 1.0]], ['2, k, 20', [-0.1581348, 0.6404847, 1.0]], ['2, k, 21', [-0.1481957, 0.7261925, 1.0]], ['2, k, 22', [-0.256618, 0.7109558, 1.0]], ['2, k, 23', [0.147531, -0.004034479, 1.0]], ['2, k, 24', [0.121277, 0.06285259, 1.0]]]
[['2, k, 0', [-0.1616007, 0.07473432, 1.0]], ['2, k, 1', [-0.1604963, 0.4034033, 1.0]], ['2, k, 2', [-0.1575652, 0.7210441, 1.0]], ['2, k, 3', [-0.1366754, 0.884016, 1.0]], ['2, k, 4', [-0.292227, 0.5479987, 1.0]], ['2, k, 5', [-0.4307615, 0.4344204, 1.0]], ['2, k, 6', [-0.2393, 0.632821, 1.0]], ['2, k, 7', [-0.2121174, 0.6824154, 1.0]], ['2, k, 8', [0.01125426, 0.620714, 1.0]], ['2, k, 9', [0.0802454, 0.3435725, 1.0]], ['2, k, 10', [0.1112847, 0.1146663, 1.0]], ['2, k, 11', [0.1356972, 0.06982008, 1.0]], ['2, k, 12', [-0.235678, 0.07177383, 1.0]], ['2, k, 13', [-0.3076848, -0.3733192, 1.0]], ['2, k, 14', [-0.3632698, -0.7148952, 1.0]], ['2, k, 15', [-0.3936298, -0.7564615, 1.0]], ['2, k, 16', [-0.08183548, 0.07470024, 1.0]], ['2, k, 17', [-0.08633457, -0.3540101, 1.0]], ['2, k, 18', [-0.1381803, -0.6974806, 1.0]], ['2, k, 19', [-0.03256711, -0.7476426, 1.0]], ['2, k, 20', [-0.1585488, 0.6434728, 1.0]], ['2, k, 21', [-0.1455016, 0.7337464, 1.0]], ['2, k, 22', [-0.2531056, 0.7266203, 1.0]], ['2, k, 23', [0.1484785, -0.005856047, 1.0]], ['2, k, 24', [0.1693621, 0.06459242, 1.0]]]
[['2, k, 0', [-0.1616034, 0.07472344, 1.0]], ['2, k, 1', [-0.1604756, 0.4034625, 1.0]], ['2, k, 2', [-0.1575484, 0.7210737, 1.0]], ['2, k, 3', [-0.1365269, 0.8843654, 1.0]], ['2, k, 4', [-0.2919722, 0.5482751, 1.0]], ['2, k, 5', [-0.4320309, 0.4323799, 1.0]], ['2, k, 6', [-0.2438242, 0.6286446, 1.0]], ['2, k, 7', [-0.2135759, 0.6854618, 1.0]], ['2, k, 8', [0.01166281, 0.6205481, 1.0]], ['2, k, 9', [0.08030175, 0.3440395, 1.0]], ['2, k, 10', [0.1112713, 0.1150967, 1.0]], ['2, k, 11', [0.1363119, 0.07039804, 1.0]], ['2, k, 12', [-0.2356996, 0.07176822, 1.0]], ['2, k, 13', [-0.3075058, -0.371728, 1.0]], ['2, k, 14', [-0.3625828, -0.712844, 1.0]], ['2, k, 15', [-0.3923241, -0.7546976, 1.0]], ['2, k, 16', [-0.08181123, 0.07465695, 1.0]], ['2, k, 17', [-0.08650692, -0.3548034, 1.0]], ['2, k, 18', [-0.1387946, -0.6998642, 1.0]], ['2, k, 19', [-0.03450296, -0.7473987, 1.0]], ['2, k, 20', [-0.1585274, 0.6435171, 1.0]], ['2, k, 21', [-0.1431384, 0.7412051, 1.0]], ['2, k, 22', [-0.2546129, 0.7266454, 1.0]], ['2, k, 23', [0.1468384, -0.003585082, 1.0]], ['2, k, 24', [0.1325482, 0.07531286, 1.0]]]
[['2, k, 0', [-0.1616696, 0.07479407, 1.0]], ['2, k, 1', [-0.1607887, 0.4046961, 1.0]], ['2, k, 2', [-0.1582606, 0.7235655, 1.0]], ['2, k, 3', [-0.1365561, 0.8845589, 1.0]], ['2, k, 4', [-0.2908592, 0.5502177, 1.0]], ['2, k, 5', [-0.4218929, 0.4495136, 1.0]], ['2, k, 6', [-0.2494665, 0.6238136, 1.0]], ['2, k, 7', [-0.2159817, 0.6862326, 1.0]], ['2, k, 8', [0.01189126, 0.6205791, 1.0]], ['2, k, 9', [0.08031305, 0.3440027, 1.0]], ['2, k, 10', [0.111131, 0.1150486, 1.0]], ['2, k, 11', [0.1364378, 0.06814732, 1.0]], ['2, k, 12', [-0.2358562, 0.07196317, 1.0]], ['2, k, 13', [-0.3076127, -0.3713757, 1.0]], ['2, k, 14', [-0.3622719, -0.712508, 1.0]], ['2, k, 15', [-0.3917787, -0.7540428, 1.0]], ['2, k, 16', [-0.08183666, 0.07468734, 1.0]], ['2, k, 17', [-0.08654297, -0.354933, 1.0]], ['2, k, 18', [-0.138712, -0.6992658, 1.0]], ['2, k, 19', [-0.03238627, -0.7476133, 1.0]], ['2, k, 20', [-0.1591202, 0.6457218, 1.0]], ['2, k, 21', [-0.1426026, 0.7386358, 1.0]], ['2, k, 22', [-0.249523, 0.7357489, 1.0]], ['2, k, 23', [0.1489119, -0.01189143, 1.0]], ['2, k, 24', [0.1652484, 0.06060177, 1.0]]]
[['2, k, 0', [-0.1617029, 0.07480206, 1.0]], ['2, k, 1', [-0.1609054, 0.4054548, 1.0]], ['2, k, 2', [-0.1585141, 0.7250732, 1.0]], ['2, k, 3', [-0.1364445, 0.8847829, 1.0]], ['2, k, 4', [-0.2909018, 0.5503715, 1.0]], ['2, k, 5', [-0.4213683, 0.4504905, 1.0]], ['2, k, 6', [-0.2523772, 0.6221504, 1.0]], ['2, k, 7', [-0.2186893, 0.6843575, 1.0]], ['2, k, 8', [0.01223153, 0.6204858, 1.0]], ['2, k, 9', [0.08031616, 0.3429194, 1.0]], ['2, k, 10', [0.1116614, 0.1140637, 1.0]], ['2, k, 11', [0.1376342, 0.06891234, 1.0]], ['2, k, 12', [-0.2358959, 0.0719919, 1.0]], ['2, k, 13', [-0.3075213, -0.371148, 1.0]], ['2, k, 14', [-0.3622374, -0.7122083, 1.0]], ['2, k, 15', [-0.3918085, -0.7542486, 1.0]], ['2, k, 16', [-0.08185722, 0.07466838, 1.0]], ['2, k, 17', [-0.0865473, -0.3549386, 1.0]], ['2, k, 18', [-0.1380476, -0.7000729, 1.0]], ['2, k, 19', [-0.03089487, -0.7459879, 1.0]], ['2, k, 20', [-0.1593313, 0.6470658, 1.0]], ['2, k, 21', [-0.1439929, 0.7332799, 1.0]], ['2, k, 22', [-0.2508754, 0.729389, 1.0]], ['2, k, 23', [0.1499353, -0.0127012, 1.0]], ['2, k, 24', [0.1664931, 0.05954988, 1.0]]]
[['2, k, 0', [-0.1618905, 0.07477452, 1.0]], ['2, k, 1', [-0.1611463, 0.4061283, 1.0]], ['2, k, 2', [-0.1587871, 0.7264283, 1.0]], ['2, k, 3', [-0.1365136, 0.8848978, 1.0]], ['2, k, 4', [-0.2907587, 0.5508146, 1.0]], ['2, k, 5', [-0.4125607, 0.4973597, 1.0]], ['2, k, 6', [-0.2365158, 0.6447298, 1.0]], ['2, k, 7', [-0.2209509, 0.6794059, 1.0]], ['2, k, 8', [0.0124645, 0.6205177, 1.0]], ['2, k, 9', [0.08005317, 0.3438493, 1.0]], ['2, k, 10', [0.1116344, 0.1150136, 1.0]], ['2, k, 11', [0.1357418, 0.06782243, 1.0]], ['2, k, 12', [-0.2360651, 0.07204632, 1.0]], ['2, k, 13', [-0.3073896, -0.3705729, 1.0]], ['2, k, 14', [-0.362471, -0.7133584, 1.0]], ['2, k, 15', [-0.3922361, -0.7549201, 1.0]], ['2, k, 16', [-0.08206125, 0.074545, 1.0]], ['2, k, 17', [-0.08654626, -0.3548969, 1.0]], ['2, k, 18', [-0.1369813, -0.7011867, 1.0]], ['2, k, 19', [-0.03138896, -0.7494681, 1.0]], ['2, k, 20', [-0.1595968, 0.6482648, 1.0]], ['2, k, 21', [-0.148157, 0.7275564, 1.0]], ['2, k, 22', [-0.2564052, 0.7188252, 1.0]], ['2, k, 23', [0.1473016, -0.004301461, 1.0]], ['2, k, 24', [0.1847405, 0.07183517, 1.0]]]
[['2, k, 0', [-0.1620735, 0.07487005, 1.0]], ['2, k, 1', [-0.1613924, 0.4067999, 1.0]], ['2, k, 2', [-0.1590653, 0.7273102, 1.0]], ['2, k, 3', [-0.1364451, 0.884886, 1.0]], ['2, k, 4', [-0.290384, 0.551853, 1.0]], ['2, k, 5', [-0.4278092, 0.4496378, 1.0]], ['2, k, 6', [-0.246802, 0.6375001, 1.0]], ['2, k, 7', [-0.2261332, 0.6728457, 1.0]], ['2, k, 8', [0.01292486, 0.6208256, 1.0]], ['2, k, 9', [0.08020402, 0.3445083, 1.0]], ['2, k, 10', [0.1115377, 0.1156447, 1.0]], ['2, k, 11', [0.1367087, 0.06952978, 1.0]], ['2, k, 12', [-0.2362392, 0.07221128, 1.0]], ['2, k, 13', [-0.3076222, -0.370214, 1.0]], ['2, k, 14', [-0.3625693, -0.7132555, 1.0]], ['2, k, 15', [-0.392329, -0.7550018, 1.0]], ['2, k, 16', [-0.0822477, 0.07458449, 1.0]], ['2, k, 17', [-0.08692743, -0.3552775, 1.0]], ['2, k, 18', [-0.1358374, -0.7041004, 1.0]], ['2, k, 19', [-0.02784429, -0.7490602, 1.0]], ['2, k, 20', [-0.1598657, 0.6491181, 1.0]], ['2, k, 21', [-0.1686621, 0.7231295, 1.0]], ['2, k, 22', [-0.2571447, 0.7100338, 1.0]], ['2, k, 23', [0.1449063, -0.002493291, 1.0]], ['2, k, 24', [0.1706881, 0.06170624, 1.0]]]
[['2, k, 0', [-0.1621054, 0.07494742, 1.0]], ['2, k, 1', [-0.1614187, 0.4072975, 1.0]], ['2, k, 2', [-0.1591157, 0.7279027, 1.0]], ['2, k, 3', [-0.1363697, 0.884867, 1.0]], ['2, k, 4', [-0.2903584, 0.5522169, 1.0]], ['2, k, 5', [-0.4148588, 0.4961762, 1.0]], ['2, k, 6', [-0.2396179, 0.6444201, 1.0]], ['2, k, 7', [-0.2235191, 0.6700102, 1.0]], ['2, k, 8', [0.01423292, 0.6214557, 1.0]], ['2, k, 9', [0.08009999, 0.3416677, 1.0]], ['2, k, 10', [0.1131321, 0.1130656, 1.0]], ['2, k, 11', [0.1359418, 0.07166891, 1.0]], ['2, k, 12', [-0.2362342, 0.07236683, 1.0]], ['2, k, 13', [-0.3077753, -0.3702098, 1.0]], ['2, k, 14', [-0.3637252, -0.7134472, 1.0]], ['2, k, 15', [-0.3934816, -0.7554362, 1.0]], ['2, k, 16', [-0.08232234, 0.07460287, 1.0]], ['2, k, 17', [-0.08707292, -0.355637, 1.0]], ['2, k, 18', [-0.1355955, -0.7050261, 1.0]], ['2, k, 19', [-0.02725109, -0.7491941, 1.0]], ['2, k, 20', [-0.1599068, 0.6497054, 1.0]], ['2, k, 21', [-0.1559006, 0.7162415, 1.0]], ['2, k, 22', [-0.2530988, 0.7070616, 1.0]], ['2, k, 23', [0.1470844, -0.01318441, 1.0]], ['2, k, 24', [0.1563173, 0.03232229, 1.0]]]
[['2, k, 0', [-0.1621385, 0.07493097, 1.0]], ['2, k, 1', [-0.1614079, 0.4075465, 1.0]], ['2, k, 2', [-0.1590305, 0.7284051, 1.0]], ['2, k, 3', [-0.1359809, 0.8848137, 1.0]], ['2, k, 4', [-0.2903032, 0.5524391, 1.0]], ['2, k, 5', [-0.4338624, 0.4486073, 1.0]], ['2, k, 6', [-0.2467366, 0.6384147, 1.0]], ['2, k, 7', [-0.2264831, 0.6640702, 1.0]], ['2, k, 8', [0.01498391, 0.6215752, 1.0]], ['2, k, 9', [0.0801134, 0.3416041, 1.0]], ['2, k, 10', [0.1135804, 0.1131134, 1.0]], ['2, k, 11', [0.13687, 0.06957463, 1.0]], ['2, k, 12', [-0.2362582, 0.07237612, 1.0]], ['2, k, 13', [-0.3080665, -0.3701463, 1.0]], ['2, k, 14', [-0.3639341, -0.7136869, 1.0]], ['2, k, 15', [-0.39395, -0.7553511, 1.0]], ['2, k, 16', [-0.08236532, 0.07453347, 1.0]], ['2, k, 17', [-0.08721745, -0.3556183, 1.0]], ['2, k, 18', [-0.1350944, -0.7043594, 1.0]], ['2, k, 19', [-0.03133086, -0.7483599, 1.0]], ['2, k, 20', [-0.1598402, 0.6501502, 1.0]], ['2, k, 21', [-0.1660758, 0.7124671, 1.0]], ['2, k, 22', [-0.2567752, 0.7097352, 1.0]], ['2, k, 23', [0.1511897, -0.01236717, 1.0]], ['2, k, 24', [0.171849, 0.07923739, 1.0]]]
[['2, k, 0', [-0.1622702, 0.0748827, 1.0]], ['2, k, 1', [-0.1614048, 0.4077132, 1.0]], ['2, k, 2', [-0.1589077, 0.7286789, 1.0]], ['2, k, 3', [-0.1357782, 0.884677, 1.0]], ['2, k, 4', [-0.2904067, 0.5525249, 1.0]], ['2, k, 5', [-0.4340796, 0.4487547, 1.0]], ['2, k, 6', [-0.2461759, 0.6384228, 1.0]], ['2, k, 7', [-0.2260131, 0.6594058, 1.0]], ['2, k, 8', [0.01549534, 0.6215103, 1.0]], ['2, k, 9', [0.08001594, 0.3407347, 1.0]], ['2, k, 10', [0.1137228, 0.112293, 1.0]], ['2, k, 11', [0.1353841, 0.06965898, 1.0]], ['2, k, 12', [-0.2363173, 0.0723804, 1.0]], ['2, k, 13', [-0.3082278, -0.3700386, 1.0]], ['2, k, 14', [-0.3632913, -0.7137974, 1.0]], ['2, k, 15', [-0.3939801, -0.7549011, 1.0]], ['2, k, 16', [-0.08256988, 0.07439651, 1.0]], ['2, k, 17', [-0.08730793, -0.3542407, 1.0]], ['2, k, 18', [-0.1363519, -0.701166, 1.0]], ['2, k, 19', [-0.03110049, -0.7482482, 1.0]], ['2, k, 20', [-0.1597492, 0.6504, 1.0]], ['2, k, 21', [-0.1667569, 0.7121742, 1.0]], ['2, k, 22', [-0.2538241, 0.6997945, 1.0]], ['2, k, 23', [0.144639, -0.002668135, 1.0]], ['2, k, 24', [0.170836, 0.06272013, 1.0]]]
[['2, k, 0', [-0.1622317, 0.07486817, 1.0]], ['2, k, 1', [-0.1613036, 0.4078602, 1.0]], ['2, k, 2', [-0.1587969, 0.7288417, 1.0]], ['2, k, 3', [-0.1355153, 0.8848274, 1.0]], ['2, k, 4', [-0.2904933, 0.552534, 1.0]], ['2, k, 5', [-0.4342898, 0.4488851, 1.0]], ['2, k, 6', [-0.2449441, 0.63798, 1.0]], ['2, k, 7', [-0.2245329, 0.6532066, 1.0]], ['2, k, 8', [0.0163659, 0.6220688, 1.0]], ['2, k, 9', [0.08029901, 0.3413255, 1.0]], ['2, k, 10', [0.1133665, 0.1127631, 1.0]], ['2, k, 11', [0.1366432, 0.0692651, 1.0]], ['2, k, 12', [-0.2362979, 0.07239594, 1.0]], ['2, k, 13', [-0.3081654, -0.3693952, 1.0]], ['2, k, 14', [-0.3633108, -0.7132342, 1.0]], ['2, k, 15', [-0.3942513, -0.7552168, 1.0]], ['2, k, 16', [-0.0824804, 0.07430824, 1.0]], ['2, k, 17', [-0.0876268, -0.3553992, 1.0]], ['2, k, 18', [-0.1360726, -0.699042, 1.0]], ['2, k, 19', [-0.03050629, -0.7484096, 1.0]], ['2, k, 20', [-0.1596365, 0.6505666, 1.0]], ['2, k, 21', [-0.1620625, 0.7016438, 1.0]], ['2, k, 22', [-0.2522286, 0.6998242, 1.0]], ['2, k, 23', [0.1475167, -0.006978622, 1.0]], ['2, k, 24', [0.1899844, 0.05022775, 1.0]]]
[['2, k, 0', [-0.1622057, 0.07485179, 1.0]], ['2, k, 1', [-0.1611446, 0.4079861, 1.0]], ['2, k, 2', [-0.1585078, 0.7290401, 1.0]], ['2, k, 3', [-0.1350939, 0.8845769, 1.0]], ['2, k, 4', [-0.2904855, 0.5524701, 1.0]], ['2, k, 5', [-0.4344923, 0.4489006, 1.0]], ['2, k, 6', [-0.243275, 0.6355958, 1.0]], ['2, k, 7', [-0.2230482, 0.6482303, 1.0]], ['2, k, 8', [0.01682528, 0.622104, 1.0]], ['2, k, 9', [0.08035199, 0.3412939, 1.0]], ['2, k, 10', [0.1130712, 0.1126831, 1.0]], ['2, k, 11', [0.1356602, 0.07032813, 1.0]], ['2, k, 12', [-0.23628, 0.07239802, 1.0]], ['2, k, 13', [-0.308262, -0.3692834, 1.0]], ['2, k, 14', [-0.3633817, -0.7132677, 1.0]], ['2, k, 15', [-0.3944541, -0.7556049, 1.0]], ['2, k, 16', [-0.08243392, 0.07426848, 1.0]], ['2, k, 17', [-0.0876181, -0.3554107, 1.0]], ['2, k, 18', [-0.1369259, -0.6981592, 1.0]], ['2, k, 19', [-0.03047031, -0.7446114, 1.0]], ['2, k, 20', [-0.1593773, 0.6507534, 1.0]], ['2, k, 21', [-0.1547537, 0.7027285, 1.0]], ['2, k, 22', [-0.2546852, 0.6877654, 1.0]], ['2, k, 23', [0.1478288, -0.005871112, 1.0]], ['2, k, 24', [0.1685821, 0.07077024, 1.0]]]
[['2, k, 0', [-0.162172, 0.07474203, 1.0]], ['2, k, 1', [-0.161001, 0.4080411, 1.0]], ['2, k, 2', [-0.1580984, 0.7292022, 1.0]], ['2, k, 3', [-0.1347259, 0.8843318, 1.0]], ['2, k, 4', [-0.2904793, 0.5523714, 1.0]], ['2, k, 5', [-0.4348359, 0.4486373, 1.0]], ['2, k, 6', [-0.2409152, 0.6275608, 1.0]], ['2, k, 7', [-0.2214006, 0.6408424, 1.0]], ['2, k, 8', [0.01724355, 0.6219953, 1.0]], ['2, k, 9', [0.08089643, 0.3429227, 1.0]], ['2, k, 10', [0.1124092, 0.1141246, 1.0]], ['2, k, 11', [0.1362257, 0.07285458, 1.0]], ['2, k, 12', [-0.236267, 0.07234394, 1.0]], ['2, k, 13', [-0.3084341, -0.3689107, 1.0]], ['2, k, 14', [-0.3635319, -0.7133409, 1.0]], ['2, k, 15', [-0.3945492, -0.7556999, 1.0]], ['2, k, 16', [-0.08236013, 0.07410539, 1.0]], ['2, k, 17', [-0.08808504, -0.3550429, 1.0]], ['2, k, 18', [-0.1363187, -0.6971149, 1.0]], ['2, k, 19', [-0.03128891, -0.7480853, 1.0]], ['2, k, 20', [-0.1590451, 0.6508883, 1.0]], ['2, k, 21', [-0.1489019, 0.6910957, 1.0]], ['2, k, 22', [-0.2448017, 0.691696, 1.0]], ['2, k, 23', [0.14709, -0.003041361, 1.0]], ['2, k, 24', [0.1841403, 0.07162438, 1.0]]]
